drug,tnbc_pathway_enrichment_similarity
CHEMBL3861,0.000827173206246043
CHEMBL3863,0.00042591490658603335
CHEMBL3892,0.0005220452065088889
CHEMBL3898,0.00045855297667079994
CHEMBL3911,0.0004807426459133334
CHEMBL3913,0.00048143258943149093
CHEMBL3958,0.00042985001513406676
CHEMBL3961,0.0006044928737092985
CHEMBL3969,0.0004790010121981
CHEMBL3974,0.0004893639421356546
CHEMBL4018,0.0004499516073119286
CHEMBL402,0.0004754653896672601
CHEMBL4068,0.0004813927809241778
CHEMBL4069,0.00047460389686155565
CHEMBL4071,0.0005640675979396832
CHEMBL4072,0.0005698171929946849
CHEMBL4074,0.0004166023645587
CHEMBL4076,0.0004221923717138
CHEMBL4121,0.0005285346188582953
CHEMBL4142,0.0006121107129783449
CHEMBL4237,0.0006376071913641242
CHEMBL4271,0.00044812135197523336
CHEMBL4273,0.0004906996903553058
CHEMBL4305,0.00044324172568015
CHEMBL4306,0.00040615615031440005
CHEMBL4315,0.0005343287052766999
CHEMBL4330,0.0005000539065527078
CHEMBL4425,0.00044476492009188235
CHEMBL4429,0.00046877839906287144
CHEMBL4467,0.00047597703479654004
CHEMBL4469,0.0004319220882888
CHEMBL4478,0.00048623654469295006
CHEMBL4549,0.0004988826883909547
CHEMBL4550,0.00041475997231676
CHEMBL4551,0.0005376023943724857
CHEMBL4573,0.00044777978247696667
CHEMBL4589,0.0003873339943639
CHEMBL4605,0.0003995955747363
CHEMBL4607,0.0004499516073119286
CHEMBL4608,0.00047744313337567
CHEMBL4617,0.0006468555297338333
CHEMBL4633,0.00040712339535483336
CHEMBL4708,0.00044105114001005
CHEMBL4712,0.0005047540305867749
CHEMBL4714,0.0004807426459133334
CHEMBL4715,0.000504888431920257
CHEMBL4716,0.000514004185229875
CHEMBL4744,0.0004665848920283824
CHEMBL4761,0.00047809430570111664
CHEMBL4763,0.0005217155961195304
CHEMBL4770,0.0004360151397346
CHEMBL4777,0.0004499516073119286
CHEMBL4790,0.0006402314542410099
CHEMBL4794,0.0008311125053902
CHEMBL4805,0.0005271974656844889
CHEMBL4808,0.0004926539126606
CHEMBL4811,0.0004904888349882501
CHEMBL4812,0.0003964369300846333
CHEMBL4813,0.00044887795757962993
CHEMBL4815,0.00046877839906287144
CHEMBL4816,0.0005706555921035098
CHEMBL4820,0.0004807426459133334
CHEMBL4829,0.00042346081102629095
CHEMBL4832,0.0005784588176866501
CHEMBL4833,0.00040932359095326664
CHEMBL4834,0.0005407926644568666
CHEMBL4835,0.0010271118363223749
CHEMBL4863,0.00044191763111068005
CHEMBL4865,0.0005960457751996571
CHEMBL4866,0.0005710366296516199
CHEMBL4867,0.0004905210072326714
CHEMBL4868,0.0004166023645587
CHEMBL4869,0.0005562770700419286
CHEMBL4872,0.0004381752504791666
CHEMBL4873,0.00047796025751780004
CHEMBL4876,0.0005210938266859556
CHEMBL4878,0.00042512254524767497
CHEMBL4880,0.0005788097168199001
CHEMBL4881,0.00050514629570814
CHEMBL4883,0.00044596301572125553
CHEMBL4892,0.0004381069569378444
CHEMBL4894,0.0004499516073119286
CHEMBL4924,0.0005601900999162181
CHEMBL4925,0.0004943181092516333
CHEMBL4928,0.00048326577661270766
CHEMBL4939,0.00047796025751780004
CHEMBL4940,0.0009064591093925333
CHEMBL4941,0.0005316209817723777
CHEMBL4942,0.00044791279288320003
CHEMBL4945,0.0005605883661442667
CHEMBL4947,0.0006651536555328499
CHEMBL4949,0.00073605476254125
CHEMBL4977,0.0006244310465820399
CHEMBL4983,0.0006217767378174333
CHEMBL4985,0.00049010809886555
CHEMBL5100,0.00059432840099055
CHEMBL5103,0.0006217954688751944
CHEMBL5113,0.00046877839906287144
CHEMBL5135,0.00042264932291700004
CHEMBL5136,0.0005020236973519143
CHEMBL5444,0.0005834836371982167
